project_type,client_industry,estimated_timeline_months,team_size,complexity_score,revision_count,developer_experience_level,final_billed_amount
Web Application,Retail,15,5,5,3,5,12838120.21
Data Engineering Pipeline,Startup,13,6,4,2,4,12315574.15
IoT System,Education,2,11,1,4,4,3075102.91
DevOps Automation,Startup,13,6,1,6,2,7193427.64
Cloud Migration,Healthcare,11,8,1,10,3,18372828.11
E-commerce Platform,Healthcare,15,15,2,5,2,33648687.76
Business Intelligence Dashboard,Finance,10,10,4,1,1,19582889.93
Cloud Migration,Finance,9,8,2,0,2,14353505.73
Business Intelligence Dashboard,Healthcare,9,10,3,4,2,12580642.9
AI/ML Solution,Startup,1,5,5,4,4,1063322.85
Mobile Application,Healthcare,17,11,3,5,1,35289761.63
Data Engineering Pipeline,Finance,12,15,2,2,1,76868755.75
Cybersecurity Implementation,Healthcare,10,11,1,0,2,15111811.72
E-commerce Platform,Healthcare,5,5,4,3,1,4868346.14
Blockchain Solution,Startup,18,7,4,3,1,21223166.03
Business Intelligence Dashboard,Education,15,9,1,9,5,11035498.86
Cloud Migration,Finance,6,15,4,1,1,23404927.61
Data Engineering Pipeline,Startup,7,10,5,7,3,12218087.41
ERP System,Healthcare,17,2,5,5,1,7092942.94
E-commerce Platform,Healthcare,6,2,5,2,4,2800315.66
ERP System,Education,8,14,3,0,5,17526672.48
Web Application,Finance,12,9,1,10,4,10880334.03
Cybersecurity Implementation,Finance,14,12,5,2,4,58591887.24
SaaS Product,Retail,12,8,2,7,3,15994768.7
SaaS Product,Finance,10,10,5,3,5,33760667.82
Blockchain Solution,Education,15,12,3,2,2,21314440.67
AI/ML Solution,Retail,7,4,2,10,1,5290451.89
Cloud Migration,Retail,9,11,1,3,3,14318992.8
Legacy System Modernization,Healthcare,10,13,1,10,3,21187553.83
Blockchain Solution,Healthcare,10,6,5,3,2,20023694.87
Mobile Application,Finance,16,4,2,1,3,9425595.49
Mobile Application,Retail,7,6,2,3,2,4701521.67
Cloud Migration,Healthcare,5,11,5,10,2,14140588.63
Legacy System Modernization,Education,3,2,5,8,2,1227144.76
DevOps Automation,Healthcare,18,15,4,3,3,46044042.91
AI/ML Solution,Healthcare,11,12,4,0,2,88116193.15
Data Engineering Pipeline,Retail,15,5,5,0,3,13105709.49
Business Intelligence Dashboard,Retail,5,7,3,0,5,9924710.16
Legacy System Modernization,Startup,12,3,4,4,2,4055509.16
SaaS Product,Education,4,14,5,5,3,12017805.74
E-commerce Platform,Retail,15,8,2,5,3,11060795.3
DevOps Automation,Finance,9,9,4,5,3,15632078.16
Business Intelligence Dashboard,Education,7,2,3,8,1,1620158.04
Business Intelligence Dashboard,Education,10,14,1,0,1,12345740.92
DevOps Automation,Retail,13,5,2,9,2,7813790.06
Web Application,Education,8,12,3,5,5,9855437.16
ERP System,Retail,12,5,3,7,2,12094822.17
Business Intelligence Dashboard,Healthcare,1,14,3,7,4,2628884.26
DevOps Automation,Startup,16,6,2,2,4,9178567.74
Legacy System Modernization,Healthcare,17,15,3,4,5,46509032.25
DevOps Automation,Retail,18,13,1,9,5,27489773.98
IoT System,Retail,11,13,4,3,5,24222113.05
Blockchain Solution,Healthcare,18,5,2,0,1,18769045.2
CRM System,Finance,7,10,3,8,1,15701588.43
Web Application,Finance,18,8,5,4,4,38720681.34
Cybersecurity Implementation,Finance,8,14,4,1,5,22091003.46
CRM System,Retail,6,3,2,1,3,2476515.62
Blockchain Solution,Education,7,2,5,10,4,4769958.14
Blockchain Solution,Retail,10,10,5,6,5,26940486.45
Blockchain Solution,Education,11,2,3,3,3,3865417.55
CRM System,Healthcare,13,7,2,0,5,14415147.79
Cloud Migration,Startup,9,3,3,4,2,3181248.2
ERP System,Education,7,5,1,1,3,4171973.82
DevOps Automation,Finance,9,7,5,6,2,20416896.51
E-commerce Platform,Retail,13,6,1,8,1,10362588.81
ERP System,Healthcare,3,12,3,0,4,8791949.89
SaaS Product,Finance,3,7,4,1,5,5055724.15
Legacy System Modernization,Healthcare,1,4,5,10,4,1115934.72
AI/ML Solution,Startup,2,6,4,5,5,2795556.18
Cloud Migration,Retail,3,3,2,7,2,1484856.95
Cybersecurity Implementation,Retail,15,8,5,6,3,26784572.91
ERP System,Startup,6,4,1,8,3,3776559.23
E-commerce Platform,Retail,13,2,4,1,5,4162969.51
Mobile Application,Education,1,15,2,8,2,1241884.17
Blockchain Solution,Healthcare,1,9,5,3,5,3745114.11
Business Intelligence Dashboard,Finance,2,9,2,10,5,1891004.01
SaaS Product,Startup,15,4,1,2,5,4853498.74
AI/ML Solution,Education,14,14,5,6,3,54838274.94
Web Application,Finance,11,8,2,4,5,14009203.38
Cybersecurity Implementation,Finance,15,10,3,4,3,43806824.03
Legacy System Modernization,Startup,6,9,5,1,1,22699430.27
AI/ML Solution,Education,9,4,5,5,2,24018366.86
Blockchain Solution,Finance,5,14,5,5,1,21008613.03
Business Intelligence Dashboard,Finance,2,3,5,3,5,1448633.07
Cloud Migration,Education,6,14,3,4,3,12750944.44
Business Intelligence Dashboard,Retail,18,11,1,6,2,24415090.43
CRM System,Finance,9,8,3,7,4,15581525.33
Business Intelligence Dashboard,Healthcare,6,8,3,5,2,9173050.96
CRM System,Education,14,10,2,4,2,16528509.19
SaaS Product,Finance,13,6,4,2,5,18721367.67
Cloud Migration,Startup,11,5,4,6,1,10416953.2
Legacy System Modernization,Healthcare,12,9,2,7,1,21515408.74
Data Engineering Pipeline,Finance,13,15,3,2,4,77101142.79
Blockchain Solution,Healthcare,14,5,2,4,5,33614827.15
CRM System,Healthcare,18,5,5,10,2,15770945.83
Web Application,Retail,12,13,2,1,1,15498232.95
Business Intelligence Dashboard,Healthcare,4,15,2,9,1,9756672.09
Business Intelligence Dashboard,Retail,10,13,5,9,3,25461379.12
Web Application,Education,17,3,4,3,2,7269875.89
Legacy System Modernization,Retail,4,14,5,3,5,12728304.13
Mobile Application,Startup,12,2,1,7,1,2025930.19
SaaS Product,Finance,13,5,2,2,5,13757896.26
DevOps Automation,Education,4,8,2,4,2,4026235.04
Data Engineering Pipeline,Education,10,13,4,10,2,20190631.65
Cybersecurity Implementation,Startup,3,10,3,4,1,4426586.91
E-commerce Platform,Retail,15,10,5,1,4,20394686.68
CRM System,Finance,2,13,3,8,5,4479541.18
Web Application,Retail,17,11,1,3,5,17113544.08
E-commerce Platform,Healthcare,6,2,5,8,3,7406354.78
Cloud Migration,Retail,8,6,1,8,2,7296048.93
Legacy System Modernization,Education,3,8,1,1,2,2622316.31
CRM System,Finance,18,14,1,8,1,43244627.88
DevOps Automation,Retail,1,8,5,8,1,1633738.04
E-commerce Platform,Finance,16,11,5,1,1,47575186.37
Cloud Migration,Finance,7,7,4,10,3,13444395.16
AI/ML Solution,Healthcare,3,12,2,5,4,7812400.67
Blockchain Solution,Healthcare,4,11,3,8,1,11962149.68
Business Intelligence Dashboard,Education,9,5,3,3,1,5085558.46
AI/ML Solution,Startup,5,4,1,1,1,1537978.3
CRM System,Finance,15,13,5,6,3,56465738.83
DevOps Automation,Startup,8,14,5,8,5,19082606.74
Data Engineering Pipeline,Education,6,10,1,5,4,5293429.02
E-commerce Platform,Finance,18,13,2,10,5,51149639.76
SaaS Product,Finance,15,14,3,10,2,53636730.36
Blockchain Solution,Startup,7,11,4,3,2,13001065.5
CRM System,Retail,10,5,2,0,1,7519255.28
Legacy System Modernization,Healthcare,6,9,5,3,5,15396956.17
Web Application,Retail,14,14,1,2,3,18692251.8
SaaS Product,Startup,17,2,3,6,4,3986078.24
SaaS Product,Healthcare,9,8,1,10,5,8908807.22
SaaS Product,Retail,5,13,5,10,5,12964033.39
ERP System,Healthcare,7,7,1,9,4,10511500.4
CRM System,Finance,7,14,3,4,5,20090054.57
Blockchain Solution,Retail,2,13,1,2,5,4169233.87
Business Intelligence Dashboard,Healthcare,16,2,3,1,4,4133815.03
Business Intelligence Dashboard,Healthcare,13,5,1,1,3,15487761.93
CRM System,Healthcare,8,13,1,4,4,14665350.32
Cloud Migration,Retail,6,15,3,7,1,12677975.99
ERP System,Education,6,6,1,7,1,3777346.4
Web Application,Retail,9,12,2,4,1,14028980.22
SaaS Product,Startup,4,9,4,1,1,5167759.51
SaaS Product,Retail,11,5,2,3,2,8100785.24
CRM System,Healthcare,5,4,4,6,3,5387894.05
Cloud Migration,Finance,17,3,2,5,2,11126689.85
Business Intelligence Dashboard,Retail,7,5,4,9,5,5412861.37
Business Intelligence Dashboard,Retail,15,12,1,6,5,22493450.94
DevOps Automation,Healthcare,15,11,3,4,4,31749475.08
CRM System,Finance,14,15,3,1,1,42431020.86
ERP System,Finance,13,14,5,7,4,147023372.48
Mobile Application,Startup,11,5,4,1,5,7058475.21
ERP System,Retail,13,14,5,7,1,46273421.34
Legacy System Modernization,Finance,9,11,5,6,3,36028361.68
Business Intelligence Dashboard,Finance,10,6,4,2,5,30884443.46
Business Intelligence Dashboard,Education,4,14,3,3,4,6796542.43
AI/ML Solution,Education,17,8,4,6,4,29425619.36
Business Intelligence Dashboard,Finance,14,10,1,3,5,17931505.8
Web Application,Startup,18,3,5,8,2,7600742.7
Cybersecurity Implementation,Finance,11,6,5,6,3,21230796.68
CRM System,Healthcare,16,12,4,0,5,30807793.76
E-commerce Platform,Retail,1,11,5,0,5,2103915.28
ERP System,Startup,7,10,3,3,4,8761187.89
Cybersecurity Implementation,Healthcare,10,13,5,8,1,48743490.18
Cloud Migration,Startup,9,15,4,3,1,19752415.44
Mobile Application,Healthcare,3,14,3,4,1,7564032.95
Web Application,Retail,14,4,3,0,4,5192667.58
Blockchain Solution,Retail,15,2,5,1,1,9316976.24
IoT System,Education,2,3,4,10,5,1438178.12
ERP System,Healthcare,14,15,5,3,2,78465802.45
Cybersecurity Implementation,Education,16,7,1,3,2,15408178.72
Blockchain Solution,Healthcare,7,6,1,10,2,9757110.68
Mobile Application,Education,4,2,3,9,1,771667.68
AI/ML Solution,Retail,18,2,5,5,2,9916353.47
Blockchain Solution,Startup,5,12,1,5,1,7046058.34
Web Application,Education,6,5,2,7,5,3084151.22
Web Application,Healthcare,7,13,1,8,5,8862478.33
E-commerce Platform,Healthcare,15,5,5,0,4,20822459.02
AI/ML Solution,Retail,1,7,5,0,4,1732686.79
IoT System,Healthcare,4,7,1,5,3,10575412.08
CRM System,Finance,1,11,5,3,5,3645147.41
Blockchain Solution,Startup,11,15,5,10,1,40013489.13
AI/ML Solution,Education,18,7,2,3,3,45413112.18
Web Application,Startup,14,2,3,0,5,2680771.6
Web Application,Retail,11,11,5,8,1,22935008.53
Cybersecurity Implementation,Education,10,10,4,10,5,16373326.14
Business Intelligence Dashboard,Education,17,12,3,2,5,19624037.29
IoT System,Finance,4,8,3,4,1,8038926.18
Blockchain Solution,Retail,15,8,4,9,5,33733281.42
E-commerce Platform,Healthcare,16,12,1,0,5,27097087.23
E-commerce Platform,Finance,13,8,2,7,5,20253820.28
Blockchain Solution,Finance,9,3,5,2,4,9901444.78
Legacy System Modernization,Startup,11,3,1,0,2,2969528.45
SaaS Product,Startup,11,7,4,9,5,13663443.12
Mobile Application,Startup,6,8,2,5,1,3668614.4
E-commerce Platform,Finance,1,4,2,0,5,634314.21
AI/ML Solution,Healthcare,6,14,2,2,4,14775548.43
Mobile Application,Education,13,5,4,4,4,8962607.52
AI/ML Solution,Startup,5,15,1,3,5,8261013.04
Cloud Migration,Healthcare,15,13,5,6,3,65310320.29
Web Application,Retail,18,4,2,5,2,9522800.08
Business Intelligence Dashboard,Startup,14,8,2,2,1,7027756.93
Cybersecurity Implementation,Education,15,8,1,10,1,37885347.36
E-commerce Platform,Retail,5,5,2,7,1,3829260.14
Business Intelligence Dashboard,Retail,4,14,2,7,1,7511634.06
Business Intelligence Dashboard,Education,2,8,4,1,4,1716052.57
Business Intelligence Dashboard,Startup,7,6,3,6,2,4858002.92
SaaS Product,Finance,10,2,1,0,5,2466911.2
Mobile Application,Education,16,11,1,1,5,16205109.01
AI/ML Solution,Education,10,5,1,7,3,16804041.07
Data Engineering Pipeline,Education,18,8,4,0,5,26915630.44
Cloud Migration,Retail,17,14,4,1,2,41493053.11
ERP System,Healthcare,13,3,5,0,5,13778250.09
Business Intelligence Dashboard,Finance,1,3,4,4,4,621604.28
CRM System,Startup,1,2,1,6,5,199544.83
Mobile Application,Startup,15,3,5,5,1,4911071.58
E-commerce Platform,Healthcare,1,11,3,5,1,2335317.59
IoT System,Education,6,15,2,5,1,12164655.14
E-commerce Platform,Finance,13,9,2,7,1,23483509.87
Cybersecurity Implementation,Startup,1,12,5,4,4,2315963.93
ERP System,Startup,5,9,3,9,4,5566739.31
Data Engineering Pipeline,Education,9,9,2,6,4,9903217.99
CRM System,Healthcare,17,2,5,2,5,9994969.08
E-commerce Platform,Finance,16,2,4,8,1,13151090.34
Data Engineering Pipeline,Healthcare,8,13,1,9,3,20315131.01
ERP System,Healthcare,17,11,3,2,3,92617103.97
Business Intelligence Dashboard,Finance,15,5,2,5,1,9888318.82
CRM System,Finance,1,7,1,2,2,1130443.43
Data Engineering Pipeline,Startup,12,9,5,0,5,15785130.55
Cybersecurity Implementation,Startup,5,14,2,0,3,9158073.67
AI/ML Solution,Finance,6,3,1,2,4,3664774.22
Web Application,Retail,1,14,4,3,2,1782552.13
AI/ML Solution,Startup,1,4,3,1,4,584295.31
ERP System,Retail,10,7,5,8,2,17803281.01
Mobile Application,Finance,10,11,2,10,2,22900361.12
Web Application,Startup,3,5,4,7,5,1990916.67
Cloud Migration,Healthcare,17,13,3,2,4,47027438.4
Cybersecurity Implementation,Finance,11,3,3,6,4,8162456.94
Cloud Migration,Education,18,8,4,3,3,23618268.5
SaaS Product,Retail,2,5,2,4,1,3438930.09
CRM System,Finance,9,9,3,3,1,20621879.74
Blockchain Solution,Finance,17,9,5,8,3,65209305.45
Web Application,Startup,14,8,1,10,2,10839874.19
Cloud Migration,Startup,4,11,5,6,3,9187843.91
E-commerce Platform,Startup,17,10,3,3,3,21378717.72
Cloud Migration,Education,17,5,1,7,4,10336296.47
Data Engineering Pipeline,Startup,12,8,4,1,3,14513735.63
AI/ML Solution,Finance,18,11,1,6,2,39040521.26
Data Engineering Pipeline,Startup,3,11,1,10,1,4113260.06
SaaS Product,Healthcare,11,13,1,0,5,21876587.77
Web Application,Startup,18,2,3,7,3,6626798.21
Web Application,Education,4,5,2,5,3,1824593.52
SaaS Product,Healthcare,17,3,3,4,4,11739175.71
ERP System,Finance,18,10,2,8,4,43951625.33
Data Engineering Pipeline,Finance,5,6,4,8,3,8889629.18
DevOps Automation,Retail,14,4,4,2,3,9584423.59
E-commerce Platform,Healthcare,10,5,4,8,2,11414978.04
IoT System,Retail,15,7,4,8,1,33296831.87
AI/ML Solution,Healthcare,1,11,4,1,1,3157216.23
Web Application,Healthcare,16,2,5,4,5,7040530.63
ERP System,Education,11,8,3,10,1,17695898.62
Blockchain Solution,Retail,6,9,2,1,5,8982019.43
E-commerce Platform,Education,16,8,4,0,4,17410183.99
Data Engineering Pipeline,Healthcare,2,8,5,6,5,4096909.9
AI/ML Solution,Finance,1,10,5,3,5,2991813.83
Blockchain Solution,Healthcare,9,14,5,4,1,52195347.56
Data Engineering Pipeline,Education,12,5,3,3,3,7940430.65
Cloud Migration,Retail,17,15,4,5,4,51181244.65
Blockchain Solution,Retail,15,8,5,10,2,40054507.05
SaaS Product,Education,10,10,5,1,5,22044396.96
Legacy System Modernization,Retail,12,6,4,7,5,14826616.33
ERP System,Startup,14,3,3,3,5,5718632.74
AI/ML Solution,Finance,9,6,5,7,3,22370288.3
Business Intelligence Dashboard,Finance,13,5,2,2,2,10591321.57
Legacy System Modernization,Finance,3,9,1,10,1,5215390.37
CRM System,Retail,14,6,1,4,4,9240440.51
CRM System,Retail,10,10,1,2,3,8089357.59
AI/ML Solution,Healthcare,16,10,3,6,2,49311848.41
Blockchain Solution,Healthcare,7,4,5,2,4,10964147.35
Data Engineering Pipeline,Finance,4,14,1,7,1,10657583.87
ERP System,Startup,11,11,1,8,4,15089318.7
IoT System,Healthcare,16,7,4,1,5,35187675.21
CRM System,Healthcare,4,7,5,2,5,7666367.1
ERP System,Retail,17,5,5,6,3,22355346.42
CRM System,Startup,13,12,4,4,4,21777816.21
Cloud Migration,Finance,11,14,5,9,5,53668093.51
Data Engineering Pipeline,Healthcare,3,11,2,6,3,5543074.61
Cloud Migration,Startup,9,4,3,1,3,5062383.39
E-commerce Platform,Startup,6,2,4,3,3,1856102.36
CRM System,Finance,11,13,1,0,1,25142004.19
Business Intelligence Dashboard,Startup,16,8,5,4,5,18323124.64
Business Intelligence Dashboard,Startup,5,6,2,7,5,5328975.06
Cloud Migration,Startup,14,15,2,0,2,25169103.22
SaaS Product,Healthcare,17,11,3,6,1,48322103.66
Legacy System Modernization,Finance,3,8,2,6,5,4048712.57
Business Intelligence Dashboard,Startup,4,2,5,6,5,1229615.67
CRM System,Startup,16,9,5,0,2,25128247.9
AI/ML Solution,Healthcare,16,4,2,10,4,14495800.11
Cloud Migration,Finance,4,8,5,2,4,8324676.59
E-commerce Platform,Retail,17,13,5,10,1,46660217.09
IoT System,Healthcare,13,4,1,1,3,8403624.0
IoT System,Finance,1,15,4,4,2,2661744.77
Mobile Application,Startup,12,4,5,1,2,7727647.17
Legacy System Modernization,Finance,4,11,5,4,5,15417101.06
Blockchain Solution,Finance,11,10,3,4,5,31598881.14
Data Engineering Pipeline,Finance,5,14,4,3,2,20062424.26
Business Intelligence Dashboard,Retail,2,3,4,10,3,668099.73
Business Intelligence Dashboard,Finance,17,15,4,6,4,55748191.78
Blockchain Solution,Retail,8,5,2,9,1,5737650.63
Web Application,Startup,6,7,1,5,4,3463300.45
E-commerce Platform,Retail,9,15,1,1,1,10617903.72
DevOps Automation,Startup,13,4,3,3,3,4502119.48
Cloud Migration,Startup,11,13,4,10,2,27576363.68
SaaS Product,Retail,16,11,4,6,3,27971607.44
E-commerce Platform,Healthcare,16,15,5,8,2,54467585.96
Cybersecurity Implementation,Education,2,11,2,8,5,3311026.48
Business Intelligence Dashboard,Finance,10,8,2,2,1,9063977.19
Data Engineering Pipeline,Education,12,8,3,0,5,15513576.7
Mobile Application,Finance,8,6,1,8,2,7907714.22
IoT System,Finance,11,4,4,7,1,11750849.47
Business Intelligence Dashboard,Startup,10,3,3,6,1,7737936.05
Mobile Application,Finance,13,5,2,5,5,11305473.51
CRM System,Finance,17,15,2,9,1,66555079.17
E-commerce Platform,Retail,7,14,2,6,2,10861995.41
CRM System,Education,3,5,4,10,2,2932872.87
DevOps Automation,Retail,13,12,4,8,5,32154600.59
AI/ML Solution,Finance,7,9,4,5,3,20382679.09
Cybersecurity Implementation,Startup,9,9,5,9,2,18703955.54
E-commerce Platform,Retail,13,14,1,2,2,17022608.54
Web Application,Retail,8,6,2,2,1,5793131.05
DevOps Automation,Healthcare,18,14,2,3,1,45699300.75
ERP System,Finance,2,7,5,9,2,6038967.11
Web Application,Startup,18,9,2,9,5,15793932.45
Legacy System Modernization,Retail,18,2,2,7,3,3919540.03
Cloud Migration,Retail,11,6,4,9,1,14382572.81
Data Engineering Pipeline,Startup,1,5,4,8,1,1025983.8
E-commerce Platform,Finance,14,5,1,7,3,8394056.35
ERP System,Healthcare,16,12,2,10,1,51109893.83
ERP System,Retail,11,3,3,9,5,6583811.6
DevOps Automation,Healthcare,1,11,2,1,1,1585500.68
Blockchain Solution,Education,7,2,2,3,1,1838852.64
Legacy System Modernization,Finance,16,15,1,3,2,41964915.49
AI/ML Solution,Education,14,7,3,1,5,17910987.94
E-commerce Platform,Education,15,8,2,7,5,10023824.44
Blockchain Solution,Education,14,6,3,2,2,17726300.05
DevOps Automation,Finance,11,9,4,1,4,18798665.18
Cloud Migration,Finance,16,10,4,6,3,48357593.56
IoT System,Startup,17,12,3,0,5,23108362.91
Business Intelligence Dashboard,Healthcare,6,12,2,5,4,12425260.25
Business Intelligence Dashboard,Healthcare,11,3,3,2,3,4413404.66
AI/ML Solution,Startup,17,12,3,2,5,35162864.9
Cloud Migration,Startup,9,14,4,4,1,20277278.79
SaaS Product,Education,18,5,3,2,5,13164310.37
AI/ML Solution,Startup,17,12,5,3,3,48538829.81
E-commerce Platform,Retail,12,10,5,2,4,26000922.34
E-commerce Platform,Healthcare,5,6,4,6,1,9036536.5
Mobile Application,Startup,11,4,2,2,3,3630260.41
Blockchain Solution,Retail,4,7,2,9,3,6365858.18
SaaS Product,Retail,4,4,4,3,5,2462309.59
Business Intelligence Dashboard,Retail,3,15,2,1,2,5202455.94
ERP System,Retail,17,6,1,1,2,12379631.49
Blockchain Solution,Education,7,4,5,8,1,8300031.56
Cybersecurity Implementation,Retail,4,7,1,10,3,3731865.58
E-commerce Platform,Education,13,13,1,0,4,19984614.39
Legacy System Modernization,Education,12,11,1,0,1,13241772.23
Data Engineering Pipeline,Retail,1,6,4,9,1,1423140.55
Cloud Migration,Healthcare,18,15,1,0,5,50188826.66
Web Application,Retail,11,10,3,2,4,11191402.18
AI/ML Solution,Retail,3,4,2,1,3,1753852.67
E-commerce Platform,Retail,17,7,4,2,3,19996917.34
Blockchain Solution,Healthcare,12,9,3,4,3,21815153.64
SaaS Product,Finance,10,8,3,8,1,19169570.1
Data Engineering Pipeline,Finance,8,7,5,1,5,16644529.65
Legacy System Modernization,Education,15,15,5,10,1,46778410.33
Blockchain Solution,Education,5,3,3,0,2,2399258.02
Web Application,Healthcare,4,8,5,10,2,8089512.56
Data Engineering Pipeline,Startup,4,9,2,5,3,5101203.6
Cybersecurity Implementation,Finance,15,2,2,2,5,5781723.54
Web Application,Education,17,10,5,6,3,19133712.85
DevOps Automation,Finance,12,5,1,5,3,9747630.27
CRM System,Healthcare,3,9,3,10,1,5449185.34
DevOps Automation,Healthcare,10,11,2,6,3,14629994.51
Business Intelligence Dashboard,Startup,15,8,5,4,3,17977504.38
Blockchain Solution,Startup,10,15,5,0,5,20726187.28
E-commerce Platform,Healthcare,18,14,2,2,5,42417522.11
E-commerce Platform,Education,1,11,2,2,5,894090.43
E-commerce Platform,Finance,3,8,1,6,3,4267487.58
Legacy System Modernization,Retail,12,3,5,2,5,7558924.47
CRM System,Startup,1,2,5,10,5,375590.02
DevOps Automation,Retail,3,5,4,4,4,2557549.13
CRM System,Education,3,13,1,3,4,4833327.94
IoT System,Startup,5,3,2,3,2,1753874.57
Blockchain Solution,Retail,1,9,2,6,1,3058985.66
CRM System,Education,4,11,3,0,1,4198797.64
ERP System,Finance,4,8,2,6,5,7443070.73
AI/ML Solution,Education,17,9,5,7,2,39790864.6
AI/ML Solution,Startup,14,12,2,2,2,22799146.05
ERP System,Healthcare,18,7,5,2,4,38618437.45
Data Engineering Pipeline,Finance,1,2,5,3,2,579195.61
Mobile Application,Retail,16,15,1,5,3,21036310.1
Legacy System Modernization,Startup,3,14,2,6,5,4124423.71
Data Engineering Pipeline,Healthcare,9,14,1,0,3,19802561.86
Web Application,Education,4,13,5,3,1,8936383.26
SaaS Product,Healthcare,5,10,2,6,4,10694758.15
Legacy System Modernization,Startup,11,7,2,10,3,8835537.21
Legacy System Modernization,Startup,9,13,1,1,5,10774345.69
