project_type,client_industry,estimated_timeline_months,team_allocation,complexity_score,revision_count,final_billed_amount
Business Intelligence Dashboard,Retail,5,7,3,0,2296233.16
Legacy System Modernization,Startup,12,3,4,4,4139440.89
SaaS Product,Education,4,14,5,5,4813713.26
E-commerce Platform,Retail,15,8,2,5,7614749.91
DevOps Automation,Finance,9,9,4,5,7014619.57
Business Intelligence Dashboard,Education,7,2,3,8,934624.89
Business Intelligence Dashboard,Education,10,14,1,0,6989538.71
DevOps Automation,Retail,13,5,2,9,4756560.36
Web Application,Education,8,12,3,5,6620013.41
ERP System,Retail,12,5,3,7,4728327.12
Business Intelligence Dashboard,Healthcare,1,14,3,7,1114310.21
DevOps Automation,Startup,16,6,2,2,5279501.03
Legacy System Modernization,Healthcare,17,15,3,4,16714705.73
DevOps Automation,Retail,18,13,1,9,13436476.45
IoT System,Retail,11,13,4,3,12452611.68
Blockchain Solution,Healthcare,18,5,2,0,7507214.02
CRM System,Finance,7,10,3,8,6147460.33
Web Application,Finance,18,8,5,4,13181134.51
Cybersecurity Implementation,Finance,8,14,4,1,8339065.24
CRM System,Retail,6,3,2,1,1009678.19
Blockchain Solution,Education,7,2,5,10,1427748.5
Blockchain Solution,Retail,10,10,5,6,10114919.81
Blockchain Solution,Education,11,2,3,3,1765145.62
CRM System,Healthcare,13,7,2,0,6402536.22
Cloud Migration,Startup,9,3,3,4,1757101.99
ERP System,Education,7,5,1,1,2015032.16
DevOps Automation,Finance,9,7,5,6,6092761.03
E-commerce Platform,Retail,13,6,1,8,5043459.61
ERP System,Healthcare,3,12,3,0,2852844.14
SaaS Product,Finance,3,7,4,1,1906414.48
Legacy System Modernization,Healthcare,1,4,5,10,389921.55
AI/ML Solution,Startup,2,6,4,5,1017792.97
Cloud Migration,Retail,3,3,2,7,639980.3
Cybersecurity Implementation,Retail,15,8,5,6,17048944.25
ERP System,Startup,6,4,1,8,1389247.59
E-commerce Platform,Retail,13,2,4,1,2067252.43
Mobile Application,Education,1,15,2,8,1003778.77
Blockchain Solution,Healthcare,1,9,5,3,942190.87
Business Intelligence Dashboard,Finance,2,9,2,10,2216828.27
SaaS Product,Startup,15,4,1,2,3105294.32
AI/ML Solution,Education,14,14,5,6,17875653.15
Web Application,Finance,11,8,2,4,6398052.31
Cybersecurity Implementation,Finance,15,10,3,4,13461410.42
Legacy System Modernization,Startup,6,9,5,1,4339201.12
AI/ML Solution,Education,9,4,5,5,3418464.43
Blockchain Solution,Finance,5,14,5,5,7154379.02
Business Intelligence Dashboard,Finance,2,3,5,3,559797.57
Cloud Migration,Education,6,14,3,4,6076858.08
Business Intelligence Dashboard,Retail,18,11,1,6,11832736.3
CRM System,Finance,9,8,3,7,5746084.04
Business Intelligence Dashboard,Healthcare,6,8,3,5,3063351.85
CRM System,Education,14,10,2,4,8565583.17
SaaS Product,Finance,13,6,4,2,6715495.14
Cloud Migration,Startup,11,5,4,6,4387110.38
Legacy System Modernization,Healthcare,12,9,2,7,7607312.44
Data Engineering Pipeline,Finance,13,15,3,2,13072116.13
Blockchain Solution,Healthcare,14,5,2,4,6102580.78
CRM System,Healthcare,18,5,5,10,9133453.02
Web Application,Retail,12,13,2,1,9767226.02
Business Intelligence Dashboard,Healthcare,4,15,2,9,4724705.49
Business Intelligence Dashboard,Retail,10,13,5,9,11248873.29
Web Application,Education,17,3,4,3,3307212.3
Legacy System Modernization,Retail,4,14,5,3,4880952.94
Mobile Application,Startup,12,2,1,7,1327025.52
SaaS Product,Finance,13,5,2,2,5074426.45
DevOps Automation,Education,4,8,2,4,1846987.85
Data Engineering Pipeline,Education,10,13,4,10,17990982.94
Cybersecurity Implementation,Startup,3,10,3,4,1995207.44
E-commerce Platform,Retail,15,10,5,1,12575970.0
CRM System,Finance,2,13,3,8,2240990.1
Web Application,Retail,17,11,1,3,11001009.81
E-commerce Platform,Healthcare,6,2,5,8,1073297.22
Cloud Migration,Retail,8,6,1,8,2885592.26
Legacy System Modernization,Education,3,8,1,1,1297111.06
CRM System,Finance,18,14,1,8,19029101.42
DevOps Automation,Retail,1,8,5,8,658546.84
E-commerce Platform,Finance,16,11,5,1,16592420.23
Cloud Migration,Finance,7,7,4,10,4289278.72
AI/ML Solution,Healthcare,3,12,2,5,4581843.89
Blockchain Solution,Healthcare,4,11,3,8,4306314.78
Business Intelligence Dashboard,Education,9,5,3,3,2549030.84
AI/ML Solution,Startup,5,4,1,1,1187808.29
CRM System,Finance,15,13,5,6,19884871.43
DevOps Automation,Startup,8,14,5,8,8224912.84
Data Engineering Pipeline,Education,6,10,1,5,3701734.21
E-commerce Platform,Finance,18,13,2,10,18744435.17
SaaS Product,Finance,15,14,3,10,19270888.4
Blockchain Solution,Startup,7,11,4,3,7023859.19
CRM System,Retail,10,5,2,0,3286312.06
Legacy System Modernization,Healthcare,6,9,5,3,5004607.0
Web Application,Retail,14,14,1,2,9970821.12
SaaS Product,Startup,17,2,3,6,2356717.46
SaaS Product,Healthcare,9,8,1,10,5049460.63
SaaS Product,Retail,5,13,5,10,6163918.25
ERP System,Healthcare,7,7,1,9,3025207.35
CRM System,Finance,7,14,3,4,8945036.17
Blockchain Solution,Retail,2,13,1,2,1578086.06
Business Intelligence Dashboard,Healthcare,16,2,3,1,1904655.88
Business Intelligence Dashboard,Healthcare,13,5,1,1,3158984.07
CRM System,Healthcare,8,13,1,4,7207990.92
Cloud Migration,Retail,6,15,3,7,7066064.77
ERP System,Education,6,6,1,7,2167356.71
Web Application,Retail,9,12,2,4,6016624.22
SaaS Product,Startup,4,9,4,1,2667898.83
SaaS Product,Retail,11,5,2,3,3826520.67
CRM System,Healthcare,5,4,4,6,1607738.15
Cloud Migration,Finance,17,3,2,5,3283816.2
Business Intelligence Dashboard,Retail,7,5,4,9,2606600.69
Business Intelligence Dashboard,Retail,15,12,1,6,10381260.41
DevOps Automation,Healthcare,15,11,3,4,12611277.03
CRM System,Finance,14,15,3,1,15302400.32
ERP System,Finance,13,14,5,7,20420397.99
Mobile Application,Startup,11,5,4,1,3640512.66
ERP System,Retail,13,14,5,7,16430794.96
Legacy System Modernization,Finance,9,11,5,6,10110881.52
Business Intelligence Dashboard,Finance,10,6,4,2,4766179.66
Business Intelligence Dashboard,Education,4,14,3,3,3581956.6
AI/ML Solution,Education,17,8,4,6,9453328.96
Business Intelligence Dashboard,Finance,14,10,1,3,8815760.07
Web Application,Startup,18,3,5,8,3765480.34
Cybersecurity Implementation,Finance,11,6,5,6,6378451.77
CRM System,Healthcare,16,12,4,0,17340197.75
E-commerce Platform,Retail,1,11,5,0,725443.63
ERP System,Startup,7,10,3,3,5045822.2
Cybersecurity Implementation,Healthcare,10,13,5,8,12589033.66
Cloud Migration,Startup,9,15,4,3,10181259.07
Mobile Application,Healthcare,3,14,3,4,3168771.05
Web Application,Retail,14,4,3,0,6452062.52
Blockchain Solution,Retail,15,2,5,1,2969130.89
IoT System,Education,2,3,4,10,505390.75
ERP System,Healthcare,14,15,5,3,20468125.1
Cybersecurity Implementation,Education,16,7,1,3,6971603.6
Blockchain Solution,Healthcare,7,6,1,10,3293914.24
Mobile Application,Education,4,2,3,9,607890.39
AI/ML Solution,Retail,18,2,5,5,3526006.96
Blockchain Solution,Startup,5,12,1,5,4077830.61
Web Application,Education,6,5,2,7,1382714.38
Web Application,Healthcare,7,13,1,8,5938425.34
E-commerce Platform,Healthcare,15,5,5,0,6723622.95
AI/ML Solution,Retail,1,7,5,0,643013.75
IoT System,Healthcare,4,7,1,5,2030882.4
CRM System,Finance,1,11,5,3,1076904.38
Blockchain Solution,Startup,11,15,5,10,17461656.58
AI/ML Solution,Education,18,7,2,3,7676262.37
Web Application,Startup,14,2,3,0,1686062.06
Web Application,Retail,11,11,5,8,10557506.02
Cybersecurity Implementation,Education,10,10,4,10,8340166.82
Business Intelligence Dashboard,Education,17,12,3,2,20136364.14
IoT System,Finance,4,8,3,4,3005816.81
Blockchain Solution,Retail,15,8,4,9,11411708.14
E-commerce Platform,Healthcare,16,12,1,0,12970231.36
E-commerce Platform,Finance,13,8,2,7,7312766.59
Blockchain Solution,Finance,9,3,5,2,2658115.41
Legacy System Modernization,Startup,11,3,1,0,1730486.09
SaaS Product,Startup,11,7,4,9,5338775.3
Mobile Application,Startup,6,8,2,5,2642513.58
E-commerce Platform,Finance,1,4,2,0,295715.19
AI/ML Solution,Healthcare,6,14,2,2,6996907.31
Mobile Application,Education,13,5,4,4,4097139.85
AI/ML Solution,Startup,5,15,1,3,4575815.33
Cloud Migration,Healthcare,15,13,5,6,20281754.65
Web Application,Retail,18,4,2,5,4241634.65
Business Intelligence Dashboard,Startup,14,8,2,2,5548749.64
Cybersecurity Implementation,Education,15,8,1,10,8101873.36
E-commerce Platform,Retail,5,5,2,7,1809893.82
Business Intelligence Dashboard,Retail,4,14,2,7,3461150.27
Business Intelligence Dashboard,Education,2,8,4,1,1184354.8
Business Intelligence Dashboard,Startup,7,6,3,6,2107614.99
SaaS Product,Finance,10,2,1,0,1153622.03
Mobile Application,Education,16,11,1,1,9208188.88
AI/ML Solution,Education,10,5,1,7,3464916.6
Data Engineering Pipeline,Education,18,8,4,0,10353927.59
Cloud Migration,Retail,17,14,4,1,19937255.82
ERP System,Healthcare,13,3,5,0,3449410.49
Business Intelligence Dashboard,Finance,1,3,4,4,212363.27
CRM System,Startup,1,2,1,6,126146.2
Mobile Application,Startup,15,3,5,5,3324873.69
E-commerce Platform,Healthcare,1,11,3,5,784616.53
IoT System,Education,6,15,2,5,6454144.07
E-commerce Platform,Finance,13,9,2,7,8494634.3
Cybersecurity Implementation,Startup,1,12,5,4,1006429.03
ERP System,Startup,5,9,3,9,3611457.07
Data Engineering Pipeline,Education,9,9,2,6,5319318.42
CRM System,Healthcare,17,2,5,2,2634786.73
E-commerce Platform,Finance,16,2,4,8,3013946.36
Data Engineering Pipeline,Healthcare,8,13,1,9,6303119.47
ERP System,Healthcare,17,11,3,2,14611962.7
Business Intelligence Dashboard,Finance,15,5,2,5,8860441.08
CRM System,Finance,1,7,1,2,480705.33
Data Engineering Pipeline,Startup,12,9,5,0,8203944.84
Cybersecurity Implementation,Startup,5,14,2,0,3861585.82
AI/ML Solution,Finance,6,3,1,2,1402083.83
Web Application,Retail,1,14,4,3,948949.73
AI/ML Solution,Startup,1,4,3,1,253807.27
ERP System,Retail,10,7,5,8,7025356.68
Mobile Application,Finance,10,11,2,10,7912461.2
Web Application,Startup,3,5,4,7,1108024.33
Cloud Migration,Healthcare,17,13,3,2,29195036.83
Cybersecurity Implementation,Finance,11,3,3,6,3185015.47
Cloud Migration,Education,18,8,4,3,11603098.46
SaaS Product,Retail,2,5,2,4,544661.28
CRM System,Finance,9,9,3,3,5621345.8
Blockchain Solution,Finance,17,9,5,8,19500567.08
Web Application,Startup,14,8,1,10,5763459.04
Cloud Migration,Startup,4,11,5,6,3631161.17
E-commerce Platform,Startup,17,10,3,3,10563831.65
Cloud Migration,Education,17,5,1,7,4993250.09
Data Engineering Pipeline,Startup,12,8,4,1,6878941.33
AI/ML Solution,Finance,18,11,1,6,14845857.62
Data Engineering Pipeline,Startup,3,11,1,10,2059039.35
SaaS Product,Healthcare,11,13,1,0,8957695.62
Web Application,Startup,18,2,3,7,1978758.98
Web Application,Education,4,5,2,5,1099999.95
SaaS Product,Healthcare,17,3,3,4,3734249.97
ERP System,Finance,18,10,2,8,15526677.89
Data Engineering Pipeline,Finance,5,6,4,8,3010171.76
DevOps Automation,Retail,14,4,4,2,4622988.42
E-commerce Platform,Healthcare,10,5,4,8,4522940.72
IoT System,Retail,15,7,4,8,9290428.6
AI/ML Solution,Healthcare,1,11,4,1,1020500.4
Web Application,Healthcare,16,2,5,4,2887226.88
ERP System,Education,11,8,3,10,5563989.66
Blockchain Solution,Retail,6,9,2,1,3955726.97
E-commerce Platform,Education,16,8,4,0,8611213.69
Data Engineering Pipeline,Healthcare,2,8,5,6,1528922.0
AI/ML Solution,Finance,1,10,5,3,1042308.35
Blockchain Solution,Healthcare,9,14,5,4,13169950.33
Data Engineering Pipeline,Education,12,5,3,3,4127772.02
Cloud Migration,Retail,17,15,4,5,21236534.29
Blockchain Solution,Retail,15,8,5,10,13412866.93
SaaS Product,Education,10,10,5,1,8247688.29
Legacy System Modernization,Retail,12,6,4,7,5617995.51
ERP System,Startup,14,3,3,3,3023786.82
AI/ML Solution,Finance,9,6,5,7,6100339.17
Business Intelligence Dashboard,Finance,13,5,2,2,4633476.02
Legacy System Modernization,Finance,3,9,1,10,1957931.77
CRM System,Retail,14,6,1,4,5729469.27
CRM System,Retail,10,10,1,2,6188670.77
AI/ML Solution,Healthcare,16,10,3,6,14217426.04
Blockchain Solution,Healthcare,7,4,5,2,2441759.97
Data Engineering Pipeline,Finance,4,14,1,7,4320825.31
ERP System,Startup,11,11,1,8,7006874.64
IoT System,Healthcare,16,7,4,1,10835324.41
CRM System,Healthcare,4,7,5,2,2390564.29
ERP System,Retail,17,5,5,6,8434072.52
CRM System,Startup,13,12,4,4,11980315.42
Cloud Migration,Finance,11,14,5,9,15858893.01
Data Engineering Pipeline,Healthcare,3,11,2,6,2081580.96
Cloud Migration,Startup,9,4,3,1,2530233.07
E-commerce Platform,Startup,6,2,4,3,915091.08
CRM System,Finance,11,13,1,0,15702442.46
Business Intelligence Dashboard,Startup,16,8,5,4,9564865.2
Business Intelligence Dashboard,Startup,5,6,2,7,1570234.9
Cloud Migration,Startup,14,15,2,0,12998778.72
SaaS Product,Healthcare,17,11,3,6,15771470.92
Legacy System Modernization,Finance,3,8,2,6,1810944.31
Business Intelligence Dashboard,Startup,4,2,5,6,600346.71
CRM System,Startup,16,9,5,0,8384370.2
AI/ML Solution,Healthcare,16,4,2,10,5939129.24
Cloud Migration,Finance,4,8,5,2,2883951.74
E-commerce Platform,Retail,17,13,5,10,18830626.08
IoT System,Healthcare,13,4,1,1,3562759.34
IoT System,Finance,1,15,4,4,1387248.47
Mobile Application,Startup,12,4,5,1,3346255.85
Legacy System Modernization,Finance,4,11,5,4,4526203.08
Blockchain Solution,Finance,11,10,3,4,11669596.64
Data Engineering Pipeline,Finance,5,14,4,3,5922894.72
Business Intelligence Dashboard,Retail,2,3,4,10,492731.34
Business Intelligence Dashboard,Finance,17,15,4,6,24865530.42
Blockchain Solution,Retail,8,5,2,9,3229686.09
Web Application,Startup,6,7,1,5,1835699.42
E-commerce Platform,Retail,9,15,1,1,7878647.81
DevOps Automation,Startup,13,4,3,3,3598163.07
Cloud Migration,Startup,11,13,4,10,11497569.45
SaaS Product,Retail,16,11,4,6,26116391.07
E-commerce Platform,Healthcare,16,15,5,8,23027121.24
Cybersecurity Implementation,Education,2,11,2,8,1450660.27
Business Intelligence Dashboard,Finance,10,8,2,2,5464523.68
Data Engineering Pipeline,Education,12,8,3,0,6963391.04
Mobile Application,Finance,8,6,1,8,3336824.28
IoT System,Finance,11,4,4,7,4427699.43
Business Intelligence Dashboard,Startup,10,3,3,6,1926712.4
Mobile Application,Finance,13,5,2,5,5402922.99
CRM System,Finance,17,15,2,9,22024068.73
E-commerce Platform,Retail,7,14,2,6,6824431.07
CRM System,Education,3,5,4,10,1243117.15
DevOps Automation,Retail,13,12,4,8,12123125.85
AI/ML Solution,Finance,7,9,4,5,6527857.12
Cybersecurity Implementation,Startup,9,9,5,9,7812003.45
E-commerce Platform,Retail,13,14,1,2,10995820.83
Web Application,Retail,8,6,2,2,2886959.11
DevOps Automation,Healthcare,18,14,2,3,17680910.4
ERP System,Finance,2,7,5,9,1647315.67
Web Application,Startup,18,9,2,9,9429689.66
Legacy System Modernization,Retail,18,2,2,7,2422415.09
Cloud Migration,Retail,11,6,4,9,5323992.12
Data Engineering Pipeline,Startup,1,5,4,8,378138.44
E-commerce Platform,Finance,14,5,1,7,5060312.53
ERP System,Healthcare,16,12,2,10,15792421.04
ERP System,Retail,11,3,3,9,2722681.61
DevOps Automation,Healthcare,1,11,2,1,728418.6
Blockchain Solution,Education,7,2,2,3,1002313.36
Legacy System Modernization,Finance,16,15,1,3,18054545.95
AI/ML Solution,Education,14,7,3,1,7373774.76
E-commerce Platform,Education,15,8,2,7,7909163.88
Blockchain Solution,Education,14,6,3,2,5452768.92
DevOps Automation,Finance,11,9,4,1,14121488.61
Cloud Migration,Finance,16,10,4,6,15007258.29
IoT System,Startup,17,12,3,0,14721247.42
Business Intelligence Dashboard,Healthcare,6,12,2,5,5285078.24
Business Intelligence Dashboard,Healthcare,11,3,3,2,2579918.72
AI/ML Solution,Startup,17,12,3,2,14885221.52
Cloud Migration,Startup,9,14,4,4,8716381.36
SaaS Product,Education,18,5,3,2,6588766.87
AI/ML Solution,Startup,17,12,5,3,16217795.32
E-commerce Platform,Retail,12,10,5,2,10659261.77
E-commerce Platform,Healthcare,5,6,4,6,2614002.95
Mobile Application,Startup,11,4,2,2,2726310.18
Blockchain Solution,Retail,4,7,2,9,2170674.62
SaaS Product,Retail,4,4,4,3,2116037.78
Business Intelligence Dashboard,Retail,3,15,2,1,2859317.28
ERP System,Retail,17,6,1,1,5584016.68
Blockchain Solution,Education,7,4,5,8,2731282.34
Cybersecurity Implementation,Retail,4,7,1,10,1701890.3
E-commerce Platform,Education,13,13,1,0,8951154.91
Legacy System Modernization,Education,12,11,1,0,5869483.88
Data Engineering Pipeline,Retail,1,6,4,9,465534.87
Cloud Migration,Healthcare,18,15,1,0,17220459.73
Web Application,Retail,11,10,3,2,8111802.0
AI/ML Solution,Retail,3,4,2,1,925553.25
E-commerce Platform,Retail,17,7,4,2,8732069.53
Blockchain Solution,Healthcare,12,9,3,4,9778734.22
SaaS Product,Finance,10,8,3,8,6944212.56
Data Engineering Pipeline,Finance,8,7,5,1,5670237.92
Legacy System Modernization,Education,15,15,5,10,19443412.66
Blockchain Solution,Education,5,3,3,0,959089.91
Web Application,Healthcare,4,8,5,10,2453542.67
Data Engineering Pipeline,Startup,4,9,2,5,2394104.24
Cybersecurity Implementation,Finance,15,2,2,2,2608238.82
Web Application,Education,17,10,5,6,10753291.62
DevOps Automation,Finance,12,5,1,5,4133670.59
CRM System,Healthcare,3,9,3,10,2371826.61
DevOps Automation,Healthcare,10,11,2,6,8035778.33
Business Intelligence Dashboard,Startup,15,8,5,4,7825631.07
Blockchain Solution,Startup,10,15,5,0,10938446.99
E-commerce Platform,Healthcare,18,14,2,2,19589769.47
E-commerce Platform,Education,1,11,2,2,1181378.43
E-commerce Platform,Finance,3,8,1,6,1621417.6
Legacy System Modernization,Retail,12,3,5,2,2531922.75
CRM System,Startup,1,2,5,10,160029.88
DevOps Automation,Retail,3,5,4,4,1148244.4
CRM System,Education,3,13,1,3,2410329.3
IoT System,Startup,5,3,2,3,980617.68
Blockchain Solution,Retail,1,9,2,6,791866.62
CRM System,Education,4,11,3,0,2850508.49
ERP System,Finance,4,8,2,6,2682035.95
AI/ML Solution,Education,17,9,5,7,13962377.88
AI/ML Solution,Startup,14,12,2,2,11015052.18
ERP System,Healthcare,18,7,5,2,12441044.49
Data Engineering Pipeline,Finance,1,2,5,3,192260.62
Mobile Application,Retail,16,15,1,5,15250021.35
Legacy System Modernization,Startup,3,14,2,6,4568845.93
Data Engineering Pipeline,Healthcare,9,14,1,0,7358807.73
Web Application,Education,4,13,5,3,4210829.38
SaaS Product,Healthcare,5,10,2,6,4340210.14
Legacy System Modernization,Startup,11,7,2,10,4914311.41
Legacy System Modernization,Startup,9,13,1,1,8353359.76
Web Application,Healthcare,3,14,1,0,2463204.87
CRM System,Education,6,11,5,0,4446549.61
DevOps Automation,Healthcare,11,2,5,9,2169126.09
DevOps Automation,Startup,9,2,2,5,1063062.54
AI/ML Solution,Startup,15,9,2,4,9133260.19
Cloud Migration,Retail,3,7,4,0,1569459.85
Data Engineering Pipeline,Retail,1,9,4,9,752376.68
IoT System,Finance,14,9,3,2,10875262.85
Blockchain Solution,Startup,17,12,5,10,19364763.78
Business Intelligence Dashboard,Retail,14,15,3,6,13653571.78
Cybersecurity Implementation,Healthcare,17,9,3,8,13456219.76
DevOps Automation,Education,14,11,1,8,9049501.94
Blockchain Solution,Healthcare,12,8,1,5,7604412.74
Cybersecurity Implementation,Education,16,8,4,2,10895794.27
Blockchain Solution,Retail,1,11,3,0,896334.77
CRM System,Finance,13,5,4,2,5585151.71
Cybersecurity Implementation,Healthcare,6,10,5,9,6359359.53
Business Intelligence Dashboard,Healthcare,17,13,2,1,14298582.84
Blockchain Solution,Healthcare,12,3,1,10,2851364.41
ERP System,Education,6,12,5,4,6196854.15
Business Intelligence Dashboard,Retail,7,10,5,7,5630273.97
Cybersecurity Implementation,Healthcare,1,11,1,4,747324.88
Business Intelligence Dashboard,Healthcare,1,4,1,0,235641.2
Blockchain Solution,Finance,5,15,3,2,7323549.24
Mobile Application,Finance,6,14,4,4,7510679.66
Blockchain Solution,Retail,16,3,5,6,4620282.39
Blockchain Solution,Retail,16,14,3,4,18258596.98
CRM System,Startup,14,5,3,9,5032287.73
Data Engineering Pipeline,Finance,1,6,5,4,573031.31
ERP System,Startup,13,3,5,6,3151008.91
IoT System,Education,10,14,2,7,9604522.48
DevOps Automation,Startup,10,2,4,7,1382960.66
Legacy System Modernization,Healthcare,9,11,5,6,9339239.66
Web Application,Startup,13,12,1,2,7814022.16
Data Engineering Pipeline,Retail,3,6,2,10,1407294.12
Web Application,Education,18,10,4,1,11687062.92
CRM System,Healthcare,2,13,1,0,1818173.52
ERP System,Startup,17,13,1,5,13383811.56
E-commerce Platform,Education,13,6,4,8,6472203.1
Blockchain Solution,Education,13,13,2,2,13160421.79
E-commerce Platform,Healthcare,1,12,1,4,772504.24
E-commerce Platform,Startup,2,11,3,8,1384808.85
SaaS Product,Education,1,10,4,8,801344.19
